"Nome.Carros","Quilometragem","Avaliação","Reviews","Certificado","preço.drop","preço"
"1","2019 Honda Accord Sport","Mileage",3.7,"(3 reviews)","Used","$501 price drop","$27,995"
"2","2015 Chevrolet Corvette Stingray Z51","29,192 mi.",3.7,"(3 reviews)","Used","$277 price drop","$52,000"
"3","2020 Jeep Grand Cherokee Overland","53,561 mi.",4.8,"(1,147 reviews)","Used","$2,000 price drop","$41,998"
"4","2019 Audi A7 3.0T Prestige","46,664 mi.",4.9,"(1,831 reviews)","Used","$2,090 price drop","$62,750"
"5","2017 Ford Mustang GT Premium","21,726 mi.",4,"(409 reviews)","Used","$200 price drop","$29,995"
"6","2016 Jeep Grand Cherokee Limited","66,514 mi.",4.6,"(1,348 reviews)","Used","$2,000 price drop","$26,499"
"7","2018 Jeep Grand Cherokee High Altitude","52,607 mi.",3.3,"(329 reviews)","Used","$2,074 price drop","$39,944"
"8","2021 Ford F-150 Raptor","43,502 mi.",3.5,"(193 reviews)","Used","$890 price drop","$123,500"
"9","2019 GMC Yukon Denali","5,386 mi.",4.7,"(267 reviews)","Used","$5,000 price drop","$61,974"
"10","2022 Kia Telluride SX","62,129 mi.",4.8,"(1,305 reviews)","Used","$110 price drop","$54,500"
"11","2015 Toyota 4Runner Limited","68,884 mi.",4.4,"(580 reviews)","Used","$3,200 price drop","$33,050"
"12","2020 Toyota Camry SE","57,311 mi.",5,"(3 reviews)","Used","$738 price drop","$33,677"
"13","2016 INFINITI Q50 3.0T Red Sport 400","21,713 mi.",4.7,"(1,338 reviews)","Used","$1,489 price drop","$28,900"
"14","2017 Ford F-150 Raptor","74,765 mi.",5,"(1 review)","Used","$340 price drop","$56,999"
"15","2013 Lexus GS 350 Base","66,000 mi.",4.7,"(659 reviews)","Used","$670 price drop","$16,990"
"16","2021 Mitsubishi Mirage ES","48,605 mi.",3.3,"(239 reviews)","Used","$499 price drop","$15,165"
"17","2022 Subaru Outback Touring","19,844 mi.",4.6,"(2,411 reviews)","Used","$400 price drop","$39,747"
"18","2017 Lexus ES 350 Base","28,271 mi.",3.7,"(3 reviews)","Used","$240 price drop","$29,500"
"19","2021 Toyota Land Cruiser Heritage Edition","56,748 mi.",4.1,"(57 reviews)","Used","$500 price drop","$97,900"
"20","2017 BMW M3 Base","11,194 mi.",4.7,"(743 reviews)","Used","$284 price drop","$53,789"
"21","2011 Toyota Avalon Limited","19,847 mi.",4.6,"(33 reviews)","Used","$1,896 price drop","$8,999"
"22","2020 Ford Mustang EcoBoost Premium","178,400 mi.",4.7,"(738 reviews)","Used","$2,469 price drop","$30,223"
"23","2019 Acura ILX Technology & A-Spec","45,111 mi.",4.7,"(2,792 reviews)","Used","$620 price drop","$24,995"
"24","2019 Subaru Outback 3.6R Touring","41,045 mi.",4.4,"(39 reviews)","Used","$248 price drop","$32,900"
"25","2018 Nissan Frontier S","19,181 mi.",4.7,"(1,338 reviews)","Used","$1,067 price drop","$29,997"
"26","2020 Lamborghini Urus Base","21,256 mi.",4.8,"(1,666 reviews)","Used","$1,000 price drop","$280,000"
"27","2014 Nissan Leaf SL","6,105 mi.",3.7,"(3 reviews)","Used","$887 price drop","$15,990"
"28","2017 Nissan Rogue SV","59,878 mi.",3.7,"(3 reviews)","Used","$1,503 price drop","$24,688"
"29","2017 Chevrolet Silverado 1500 LTZ","48,980 mi.",4.2,"(420 reviews)","Used","$300 price drop","$37,991"
"30","2021 GMC Yukon Denali","52,383 mi.",4.7,"(768 reviews)","Used","$229 price drop","$89,888"
"31","2021 Mitsubishi Mirage ES","14,599 mi.",4,"(33 reviews)","Used","$860 price drop","$15,185"
"32","2020 Jeep Grand Cherokee Limited","23,967 mi.",4.6,"(478 reviews)","Used","$2,109 price drop","$34,750"
"33","2015 BMW X5 M Base","28,515 mi.",4.7,"(0 reviews)","Used","$1,000 price drop","$45,950"
"34","2019 Honda CR-V EX","70,029 mi.",4.7,"(2,892 reviews)","Used","$1,346 price drop","$31,074"
"35","2017 Kia Sorento LX","953 mi.",4.8,"(17 reviews)","Used","$662 price drop","$21,006"
"36","2021 Lexus ES 350 F Sport","61,582 mi.",5,"(1,210 reviews)","Used","$511 price drop","$48,377"
"37","2020 Kia Telluride EX","21,040 mi.",4.4,"(2 reviews)","Used","$4,360 price drop","$46,801"
